isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
0,1,ISR,Israel,OHI,N,2013,2012,Y,4.270233,1.9,1005.25,0.006709396,0.002722552,0.00141979,0.003937811,0.4136383,787.0262,0.3166624,-1,8.0595,ISR_N2012Y,0.01659,0.03084,0.0432,0.05636,0.07096,0.08649,0.1058,0.1294,0.1642,0.2962
0,1,ITA,Italy,OHI,N,2013,2013,Y,0.8253945,1.9,1202.776,0.01447323,0.01084085,0.009776241,0.007137054,0.3491049,1022,0.2703606,-1,60.233948,ITA_N2013Y,0.01981,0.04259,0.05562,0.06734,0.07866,0.09158,0.1059,0.125,0.1545,0.259
0,1,JAM,Jamaica,LAC,N,2013,2004,X,63.35445,1.9,357.1828,0.01836437,0.004128259,0.001385981,0.005103182,0.4545747,233.807,0.3486235,-1,2.851807,JAM_N2004X,0.02064,0.03216,0.04166,0.05057,0.06001,0.07224,0.09033,0.1162,0.1586,0.3576
0,1,JPN,Japan,OHI,N,2013,2008,Y,116.1032,1.9,1288.172,0.003479339,0.001611829,0.000746692,0.002164972,0.3210668,1110.866,0.1878074,-1,127.445,JPN_N2008Y,0.02681,0.04687,0.05909,0.06971,0.08079,0.09239,0.1052,0.122,0.1495,0.2477
0,1,JOR,Jordan,MNA,N,2013,2010.24,X,0.446,1.9,321.0247,0.001650523,0.000305138,0.000101921,0.000376708,0.3365573,254.0219,0.1838546,-1,8.413464,JOR_N2010X,0.03454,0.04744,0.05637,0.06469,0.07396,0.08442,0.09742,0.1171,0.1496,0.2745
0,1,KAZ,Kazakhstan,ECA,N,2013,2013,X,83.61162,1.9,364.6357,0.000379303,9.68E-05,3.43E-05,0.000120936,0.263338,317.3615,0.1122782,-1,17.035275,KAZ_N2013X,0.0431,0.05652,0.06493,0.07333,0.08223,0.09228,0.1042,0.1198,0.1436,0.2199
0,1,KEN,Kenya,SSA,N,2013,2005.38,X,35.42959,1.9,148.0416,0.2515852,0.08319491,0.03992923,0.1213801,0.4850806,94.1275,0.4114588,-1,44.826849,KEN_N2005X,0.01713,0.02971,0.03877,0.04769,0.05781,0.07041,0.08664,0.1106,0.1529,0.3883
0,1,KIR,Kiribati,EAP,N,2013,2006,X,1.065704,1.9,148.8705,0.1402715,0.03702032,0.01463734,0.0489193,0.3697306,119.277,0.2336906,-1,0.108535,KIR_N2006X,0.02552,0.04041,0.05254,0.06312,0.07391,0.08606,0.1002,0.1188,0.147,0.2925
0,1,KOR,"Korea, Republic of",OHI,N,2013,2012,Y,912.0214,1.9,1198.466,0.00339,0.001105286,0.000360371,0.001337656,0.3155812,1042.032,0.1826647,-1,50.428893,KOR_N2012Y,0.02614,0.04662,0.05954,0.0706,0.08148,0.09382,0.1074,0.1244,0.1522,0.2378
0,1,KSV,Kosovo,ECA,N,2013,2013,X,0.3480566,1.9,255.3379,0.007797621,0.001858148,0.000770519,0.002457272,0.267094,224.9146,0.1209678,-1,1.8241,KSV_N2013X,0.03841,0.0555,0.0664,0.07555,0.08377,0.09298,0.1041,0.1196,0.1435,0.2202
